Time,Sensor Value
0,338
1,343
2,336
3,329332
4,342
5,344
6,333
7,329
8,340
9,346
10,335
11,331
12,337
13,346
14,338
15,333
16,335
17,341
18,341
19,333
20,332
21,341
22,341
23,333
24,330
25,338
26,343
27,336
28,329
29,335
30,341
31,338
32,330
33,334
34,340
35,341
36,332
37,329
38,337
39,342
40,337
41,328
42,335
43,343
44,337
45,330
46,332
47,343
48,341
49,335
50,331
51,339
52,345
53,335
54,333
55,344
56,350
57,351
58,346
59,357
60,373
61,378
62,372
63,378
64,388
65,392
66,385
67,390
68,405
69,411
70,405
71,415
72,450
73,482
74,492
75,482
76,473
77,453
78,410
79,374
80,367
81,407
82,459
83,503
84,543
85,568
86,564
87,567
88,573
89,578
90,567
91,569
92,569
93,574
94,566
95,565
96,570
97,569
98,572
99,548
100,511
101,479
102,460
103,451
104,433
105,417
106,412
107,419
108,423
109,423
110,465
111,534
112,569
113,571
114,576
115,571
116,570
117,573
118,569
119,570
120,574
121,572
122,568
123,572
124,571
125,572
126,572
127,571
128,573
129,556
130,526
131,502
132,478
133,450
134,412
135,370
136,334
137,299
138,263
139,231
140,210
141,196
142,181
143,162
144,142
145,130
146,121
147,117
148,127
149,155
150,189
151,220
152,247
153,260
154,264
155,259
156,254
157,256
158,261
159,264
160,267
161,263
162,267
163,264
164,252
165,251
166,240
167,227
168,210
169,186
170,178
171,176
172,175
173,173
174,181
175,202
176,228
177,239
178,231
179,230
180,193
181,162
182,146
183,162
184,197
185,240
186,282
187,329
188,350
189,295
190,228
191,174
192,141
193,136
194,125
195,108
196,94
197,74
198,57
199,40
200,32
201,44
202,65
203,74
204,75
205,47
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
